Champion,won,drawn,lost,gf,ga,points
1.0,24,12,6,67,31,84
0.0,21,11,10,57,40,74
0.0,21,9,12,61,65,72
0.0,20,11,11,68,46,71
0.0,17,12,13,63,55,63
0.0,16,11,15,62,55,59
0.0,15,14,13,55,51,59
0.0,16,11,15,60,66,59
0.0,15,12,15,56,51,57
0.0,15,11,16,40,38,56
0.0,14,14,14,51,54,56
0.0,14,12,16,56,55,54
0.0,15,8,19,53,55,53
0.0,14,10,18,54,53,52
0.0,13,13,16,52,57,52
0.0,12,16,14,50,55,52
0.0,12,15,15,57,62,51
0.0,13,11,18,54,61,50
0.0,13,10,19,63,74,49
0.0,11,16,15,48,61,49
0.0,11,11,20,54,75,44
0.0,10,10,22,41,62,40
1.0,27,11,4,80,38,92
0.0,25,9,8,63,36,84
0.0,23,8,11,82,41,77
0.0,18,17,7,53,28,71
0.0,18,16,8,65,39,70
0.0,18,11,13,56,53,65
0.0,16,16,10,76,54,64
0.0,17,9,16,59,55,60
0.0,16,12,14,62,61,60
0.0,15,12,15,46,50,57
0.0,14,14,14,43,45,56
0.0,12,17,13,65,61,53
0.0,13,13,16,47,58,52
0.0,13,12,17,49,53,51
0.0,11,12,19,54,59,45
0.0,9,18,15,38,49,45
0.0,12,8,22,42,63,44
0.0,12,7,23,49,66,43
0.0,9,16,17,35,58,43
0.0,8,18,16,42,60,42
0.0,9,13,20,42,68,40
0.0,5,15,22,47,100,30
,27,8,7,80,39,89
,26,10,6,77,29,88
,22,11,9,72,43,77
,21,11,10,65,37,74
,20,13,9,59,38,73
,20,12,10,67,47,72
,16,14,12,66,58,62
,17,9,16,61,59,60
,15,11,16,48,65,56
,12,18,12,61,63,54
,13,15,14,50,55,54
,13,12,17,53,49,51
,13,12,17,49,57,51
,13,11,18,44,48,50
,11,17,14,44,51,50
,12,14,16,44,62,50
,12,13,17,53,64,49
,11,15,16,51,56,48
,11,12,19,34,49,45
,10,13,19,37,54,43
,6,11,25,45,80,29
,7,6,29,36,93,27
,25,7,6,73,35,82
,24,6,8,66,37,78
,20,11,7,70,34,71
,18,9,11,52,35,63
,17,12,9,49,32,63
,17,10,11,64,44,61
,18,7,13,61,47,61
,16,13,9,50,38,61
,15,13,10,50,54,58
,14,9,15,43,52,51
,12,14,12,46,44,50
,11,10,17,35,50,43
,12,7,19,40,57,43
,10,11,17,55,70,41
,10,10,18,48,61,40
,8,14,16,42,60,38
,9,11,18,34,52,38
,9,11,18,33,58,38
,9,6,23,38,57,33
,8,5,25,39,71,29
,21,12,5,76,44,75
,19,11,8,73,40,68
,19,11,8,62,32,68
,19,11,8,62,37,68
,17,10,11,47,34,61
,16,11,11,58,55,59
,14,15,9,50,51,57
,15,11,12,49,46,56
,12,11,15,46,54,47
,13,7,18,44,51,46
,11,13,14,28,38,46
,11,13,14,45,58,46
,9,15,14,42,43,42
,10,12,16,39,48,42
,10,12,16,44,57,42
,10,11,17,50,56,41
,9,14,15,38,54,41
,10,10,18,35,53,40
,10,12,16,51,60,39
,6,16,16,31,59,34
,23,9,6,68,33,78
,23,8,7,73,26,77
,18,11,9,68,42,65
,20,3,15,71,43,63
,17,8,13,57,46,59
,16,10,12,57,52,58
,17,6,15,49,48,57
,16,8,14,56,57,56
,16,7,15,52,49,55
,13,14,11,51,41,53
,12,16,10,46,44,52
,14,6,18,50,55,48
,11,11,16,35,44,44
,11,11,16,44,56,44
,10,14,14,34,46,44
,12,8,18,52,67,44
,9,13,16,41,56,40
,9,13,16,41,61,40
,10,5,23,37,82,35
,8,9,21,37,71,33
,22,13,3,80,37,79
,22,12,4,59,17,78
,20,15,3,57,30,75
,18,13,7,62,34,67
,16,9,13,46,53,57
,15,10,13,51,46,55
,15,9,14,68,49,54
,13,13,12,40,45,52
,12,15,11,48,54,51
,12,13,13,40,46,49
,11,14,13,47,50,47
,13,7,18,41,42,46
,11,13,14,48,54,46
,11,10,17,42,47,43
,11,9,18,39,51,42
,10,12,16,40,63,42
,11,8,19,37,64,41
,8,12,18,41,56,36
,7,14,17,38,52,35
,7,9,22,35,69,30
,28,7,3,97,45,91
,22,7,9,73,43,73
,21,6,11,58,43,69
,19,10,9,51,30,67
,18,11,9,53,34,65
,15,13,10,46,35,58
,16,10,12,57,56,58
,16,7,15,55,55,55
,15,10,13,52,53,55
,15,8,15,57,49,53
,14,10,14,63,54,52
,14,10,14,46,52,52
,12,14,12,59,49,50
,12,8,18,47,54,44
,12,8,18,45,62,44
,9,11,18,44,57,38
,9,9,20,38,68,36
,7,12,19,46,74,33
,8,7,23,38,70,31
,6,6,26,35,77,24
,24,8,6,79,31,80
,20,10,8,63,38,70
,20,9,9,71,39,69
,20,8,10,64,43,68
,20,6,12,57,42,66
,17,10,11,68,45,61
,15,12,11,46,41,57
,13,15,10,46,43,54
,14,10,14,50,57,52
,14,10,14,40,48,52
,14,9,15,44,50,51
,13,10,15,47,54,49
,14,6,18,39,51,48
,9,15,14,44,44,42
,10,12,16,45,50,42
,11,9,18,45,59,42
,10,12,16,37,59,42
,8,10,20,41,65,34
,8,10,20,36,63,34
,5,11,22,30,70,26
,26,9,3,79,36,87
,24,8,6,67,30,80
,24,5,9,87,45,77
,21,8,9,74,52,71
,18,12,8,53,37,66
,17,13,8,66,38,64
,15,8,15,48,57,53
,12,14,12,46,47,50
,14,8,16,49,53,50
,12,10,16,55,51,46
,12,9,17,46,54,45
,12,9,17,35,47,45
,10,14,14,36,44,44
,10,14,14,38,49,44
,11,10,17,45,57,43
,9,13,16,44,62,40
,10,10,18,29,51,40
,9,9,20,41,64,36
,8,6,24,33,63,30
,5,13,20,30,64,28
,25,8,5,74,34,83
,23,9,6,85,42,78
,21,6,11,63,48,69
,19,10,9,68,38,67
,18,10,10,61,41,64
,16,12,10,52,43,60
,17,8,13,48,49,59
,13,13,12,43,46,52
,15,6,17,47,54,51
,14,8,16,51,62,50
,13,10,15,48,44,49
,14,7,17,45,56,49
,13,9,16,41,49,48
,13,9,16,41,50,48
,14,5,19,58,57,47
,12,9,17,42,47,45
,10,14,14,41,51,44
,10,12,16,42,59,42
,6,8,24,29,65,26
,4,7,27,21,65,19
,26,12,0,73,26,90
,24,7,7,67,30,79
,23,6,9,64,35,75
,16,12,10,55,37,60
,13,17,8,52,40,56
,15,11,12,48,44,56
,14,11,13,51,51,53
,14,11,13,48,56,53
,14,10,14,52,46,52
,12,14,12,43,48,50
,13,9,16,44,52,48
,12,11,15,44,45,47
,12,9,17,47,54,45
,13,6,19,47,57,45
,12,8,18,51,59,44
,9,14,15,55,54,41
,9,12,17,45,57,39
,6,15,17,48,65,33
,8,9,21,40,79,33
,7,12,19,38,77,33
,29,8,1,72,15,95
,25,8,5,87,36,83
,22,11,5,58,26,77
,18,7,13,45,46,61
,17,7,14,52,41,58
,16,10,12,49,44,58
,14,13,11,53,46,55
,13,13,12,47,39,52
,14,10,14,47,41,52
,12,11,15,45,52,47
,12,10,16,42,58,46
,11,12,15,40,46,45
,12,8,18,52,60,44
,10,14,14,47,57,44
,9,15,14,32,43,42
,10,9,19,43,59,39
,6,16,16,36,61,34
,7,12,19,41,62,33
,7,12,19,42,77,33
,6,14,18,45,66,32
,29,4,5,72,22,91
,25,8,5,72,34,83
,25,7,6,57,25,82
,20,7,11,68,31,67
,18,11,9,53,38,65
,19,6,13,51,42,63
,17,7,14,47,42,58
,15,11,12,49,41,56
,16,7,15,52,55,55
,15,6,17,45,52,51
,14,8,16,34,49,50
,14,6,18,48,58,48
,13,8,17,41,55,47
,12,9,17,48,58,45
,13,4,21,43,48,43
,10,12,16,42,55,42
,10,8,20,37,62,38
,8,10,20,28,50,34
,7,9,22,31,58,30
,3,6,29,26,69,15
,28,5,5,83,27,89
,24,11,3,64,24,83
,20,8,10,57,27,68
,19,11,8,63,35,68
,17,9,12,57,54,60
,15,13,10,52,36,58
,16,8,14,47,52,56
,16,7,15,52,47,55
,14,12,12,45,42,54
,15,7,16,52,54,52
,11,17,10,43,41,50
,12,10,16,44,49,46
,11,10,17,38,47,43
,11,9,18,29,44,42
,12,5,21,35,59,41
,8,15,15,38,60,39
,10,8,20,37,59,38
,10,8,20,32,55,38
,8,10,20,34,60,34
,5,13,20,29,59,28
,27,6,5,80,22,87
,25,10,3,65,26,85
,24,11,3,74,31,83
,21,13,4,67,28,76
,19,8,11,55,33,65
,16,12,10,71,51,60
,15,13,10,50,48,58
,16,9,13,48,40,57
,15,10,13,45,53,55
,13,10,15,42,50,49
,11,13,14,66,61,46
,11,10,17,45,65,43
,10,12,16,43,53,42
,10,10,18,34,51,40
,11,6,21,36,59,39
,9,10,19,36,54,37
,8,12,18,38,60,36
,10,6,22,41,66,36
,8,11,19,46,62,35
,1,8,29,20,89,11
,28,6,4,68,24,90
,25,11,2,77,27,86
,25,8,5,68,24,83
,20,12,6,68,37,72
,17,12,9,55,37,63
,17,11,10,54,48,62
,14,11,13,39,34,53
,14,9,15,45,45,51
,14,9,15,42,45,51
,15,5,18,58,50,50
,12,9,17,34,45,45
,12,9,17,38,55,45
,11,8,19,41,53,41
,10,11,17,38,57,41
,10,11,17,40,60,41
,9,9,20,34,54,36
,8,11,19,39,64,35
,7,13,18,40,59,34
,7,11,20,28,57,32
,8,8,22,36,67,32
,27,5,6,103,32,86
,27,4,7,86,28,85
,23,6,9,83,41,75
,21,7,10,67,41,70
,18,13,7,73,45,67
,17,13,8,52,39,64
,18,9,11,61,35,63
,16,13,9,60,49,61
,13,11,14,38,47,50
,13,11,14,41,55,50
,11,14,13,34,48,47
,12,10,16,39,46,46
,11,11,16,48,56,44
,10,9,19,42,67,39
,9,11,18,32,56,38
,9,9,20,37,79,36
,8,11,19,47,66,35
,8,6,24,42,82,30
,6,12,20,34,75,30
,7,7,24,34,66,19
,23,11,4,78,37,80
,21,8,9,69,33,71
,21,8,9,60,33,71
,19,11,8,72,43,68
,16,14,8,55,46,62
,17,7,14,59,44,58
,13,15,10,51,45,54
,11,16,11,49,43,49
,12,12,14,48,59,48
,12,11,15,45,56,47
,12,11,15,56,71,47
,11,13,14,56,57,46
,13,7,18,46,48,46
,12,10,16,52,56,46
,11,10,17,46,59,43
,9,15,14,40,61,42
,11,7,20,46,66,40
,8,15,15,37,58,39
,10,9,19,55,78,39
,7,12,19,43,70,33
,28,5,5,93,29,89
,28,5,5,89,33,89
,21,7,10,74,49,70
,20,9,9,66,41,69
,19,8,11,56,51,65
,18,10,10,65,46,64
,15,11,12,50,40,56
,14,10,14,47,40,52
,14,10,14,48,51,52
,13,8,17,45,52,47
,12,11,15,44,51,47
,12,11,15,52,66,47
,11,12,15,45,46,45
,11,12,15,36,53,45
,11,10,17,42,62,43
,7,17,14,37,53,38
,10,7,21,43,66,37
,10,6,22,46,77,36
,8,7,23,48,78,31
,5,10,23,40,82,25
,28,5,5,86,43,89
,23,9,6,66,34,78
,22,9,7,75,39,75
,21,10,7,72,37,73
,21,9,8,66,46,72
,16,15,7,55,40,63
,16,13,9,71,43,61
,14,7,17,53,57,49
,11,13,14,47,51,46
,12,10,16,45,53,46
,10,14,14,41,58,44
,11,10,17,50,60,43
,9,15,14,34,45,42
,9,14,15,49,60,41
,10,11,17,47,69,41
,11,8,19,45,68,41
,9,12,17,41,54,39
,9,9,20,47,73,36
,6,10,22,43,73,28
,4,13,21,30,60,25
,27,5,6,102,37,86
,26,6,6,101,50,84
,25,7,6,71,27,82
,24,7,7,68,41,79
,21,9,8,61,39,72
,21,6,11,55,51,69
,19,7,12,64,43,64
,15,11,12,54,46,56
,13,11,14,45,52,50
,15,4,19,43,59,49
,13,6,19,33,48,45
,11,9,18,54,54,42
,11,7,20,40,51,40
,10,8,20,41,60,38
,10,8,20,39,61,38
,10,7,21,38,53,37
,7,15,16,43,59,36
,8,9,21,28,62,33
,9,5,24,40,85,32
,7,9,22,32,74,30
,26,9,3,73,32,87
,24,7,7,83,38,79
,22,9,7,71,36,75
,20,10,8,62,37,70
,19,7,12,58,53,64
,18,8,12,52,48,62
,18,6,14,54,33,60
,16,8,14,46,49,56
,15,9,14,48,45,54
,13,9,16,47,51,48
,12,11,15,48,50,47
,12,11,15,44,47,47
,11,11,16,38,51,44
,11,8,19,46,55,41
,10,9,19,40,63,39
,7,17,14,31,53,38
,10,8,20,31,57,38
,8,11,19,33,51,35
,7,12,19,28,53,33
,8,6,24,42,73,30
,23,12,3,68,36,81
,20,11,7,65,36,71
,19,13,6,69,35,70
,19,9,10,71,41,66
,19,9,10,49,35,66
,18,9,11,59,41,63
,16,14,8,65,51,62
,16,12,10,63,50,60
,14,9,15,41,55,51
,12,14,12,59,53,50
,11,14,13,59,55,47
,12,11,15,42,52,47
,12,9,17,40,50,45
,10,13,15,34,48,43
,11,9,18,39,51,42
,11,9,18,45,67,42
,9,12,17,48,62,39
,9,10,19,44,65,37
,9,7,22,39,67,34
,3,8,27,27,76,17
,30,3,5,85,33,93
,26,8,4,86,26,86
,23,9,6,80,39,78
,22,10,6,78,42,76
,23,6,9,77,44,75
,18,15,5,54,29,69
,17,10,11,62,44,61
,12,10,16,41,48,46
,12,10,16,55,67,46
,12,9,17,43,51,45
,12,9,17,47,64,45
,12,8,18,48,63,44
,11,11,16,41,56,44
,12,5,21,50,63,41
,12,5,21,45,70,41
,11,7,20,39,55,40
,11,7,20,40,68,40
,9,7,22,37,80,34
,5,13,20,27,53,28
,6,6,26,29,69,24
,32,4,2,106,27,100
,25,6,7,68,28,81
,23,8,7,74,36,77
,21,12,5,84,38,75
,21,7,10,62,38,70
,19,6,13,74,51,63
,14,12,12,36,39,54
,13,10,15,44,58,49
,12,11,15,56,60,47
,12,8,18,39,47,44
,11,11,16,45,55,44
,11,11,16,45,61,44
,10,12,16,48,68,42
,11,8,19,44,64,41
,9,13,16,34,54,40
,9,10,19,28,58,37
,7,15,16,37,56,36
,8,9,21,28,56,33
,7,12,19,35,68,33
,6,13,19,31,56,31
,32,2,4,95,23,98
,30,7,1,89,22,97
,21,9,8,63,39,72
,23,2,13,67,39,71
,21,7,10,73,51,70
,19,9,10,65,54,66
,16,9,13,47,46,57
,15,9,14,54,46,54
,15,7,16,51,48,52
,15,7,16,52,55,52
,14,8,16,52,59,50
,14,7,17,51,53,49
,12,9,17,42,48,45
,13,6,19,56,70,45
,11,7,20,45,68,40
,9,12,17,45,65,39
,9,9,20,35,60,36
,10,4,24,34,69,34
,7,5,26,34,81,26
,3,7,28,22,76,16
,32,3,3,85,33,99
,26,3,9,102,35,81
,18,12,8,66,36,66
,20,6,12,69,54,66
,18,8,12,67,41,62
,16,11,11,61,47,59
,15,14,9,51,40,59
,14,14,10,56,48,56
,14,12,12,39,39,54
,15,9,14,43,50,54
,15,7,16,51,60,52
,13,10,15,44,56,49
,11,11,16,38,58,44
,11,10,17,31,50,43
,9,14,15,39,54,41
,10,9,19,49,62,39
,9,8,21,41,67,35
,9,7,22,40,65,34
,8,10,20,36,64,34
,5,6,27,26,75,21
,27,5,6,83,32,86
,21,11,6,73,44,74
,20,9,9,68,42,69
,19,10,9,58,36,67
,20,6,12,68,50,66
,19,8,11,62,47,65
,18,8,12,68,45,62
,18,7,13,55,39,61
,18,5,15,62,54,59
,17,8,13,47,48,59
,16,7,15,55,46,55
,12,9,17,46,62,45
,12,9,17,36,52,45
,12,8,18,41,66,44
,12,7,19,47,68,43
,9,14,15,40,46,41
,10,9,19,33,55,39
,5,13,20,27,53,28
,5,11,22,35,76,26
,7,2,29,20,63,23
,29,6,3,99,26,93
,28,8,2,94,26,92
,21,11,6,76,33,74
,22,5,11,69,40,71
,22,3,13,61,48,69
,16,10,12,57,57,58
,16,8,14,60,51,56
,14,10,14,62,59,52
,12,15,11,42,44,51
,15,6,17,38,43,51
,13,10,15,44,62,49
,11,15,12,50,46,48
,13,7,18,48,56,46
,13,6,19,52,54,45
,9,13,16,43,67,40
,11,6,21,43,66,39
,9,11,18,42,79,38
,7,14,17,34,53,35
,6,5,27,34,77,23
,5,7,26,23,84,22
,28,5,5,94,33,89
,26,6,6,88,43,84
,23,6,9,58,43,75
,19,14,5,68,33,71
,19,10,9,75,47,67
,18,8,12,72,53,62
,18,7,13,51,46,61
,18,6,14,70,63,60
,15,14,9,58,46,59
,15,7,16,55,53,52
,11,12,15,40,49,45
,11,11,16,38,47,44
,11,8,19,31,58,41
,11,7,20,42,55,40
,11,6,21,37,71,39
,9,11,18,38,68,38
,8,12,18,34,57,36
,9,7,22,51,68,34
,7,10,21,48,78,31
,6,7,25,36,73,25
,28,7,3,96,34,91
,28,5,5,91,29,89
,24,10,4,86,41,82
,20,8,10,76,61,68
,20,6,12,74,61,66
,18,9,11,77,63,63
,18,6,14,85,62,60
,18,6,14,57,58,60
,14,10,14,60,74,52
,13,10,15,57,58,49
,12,12,14,55,62,48
,13,9,16,54,67,48
,13,8,17,55,61,47
,13,7,18,50,65,46
,13,9,16,40,51,40
,10,9,19,56,65,39
,9,9,20,49,67,32
,6,8,24,52,85,26
,5,9,24,41,78,24
,3,7,28,35,104,16
