matches_played,goals_scored,goals_conceded,target_top_4,target_top_6,target_relegated,target_champion
38,45.0,67.0,0,0,0,0
38,39.0,67.0,0,0,1,0
38,49.0,35.0,1,1,0,0
38,59.0,53.0,0,0,0,0
38,59.0,55.0,0,0,0,0
38,68.0,36.0,1,1,0,1
38,65.0,36.0,1,1,0,0
38,44.0,65.0,0,0,1,0
38,41.0,55.0,0,0,0,0
38,34.0,48.0,0,0,0,0
38,27.0,76.0,0,0,1,0
38,59.0,41.0,0,1,0,0
38,48.0,62.0,0,0,0,0
38,42.0,52.0,0,0,0,0
38,69.0,35.0,1,1,0,0
38,40.0,50.0,0,0,0,0
38,65.0,51.0,0,0,0,0
38,71.0,41.0,1,1,0,0
38,39.0,51.0,0,0,0,0
38,63.0,50.0,0,0,0,0
38,74.0,51.0,0,1,0,0
38,34.0,54.0,0,0,0,0
38,62.0,38.0,0,1,0,0
38,45.0,55.0,0,0,0,0
38,44.0,58.0,0,0,0,0
38,37.0,56.0,0,0,0,0
38,44.0,64.0,0,0,0,0
38,31.0,56.0,0,0,1,0
38,68.0,28.0,1,1,0,0
38,39.0,47.0,0,0,0,0
38,28.0,56.0,0,0,1,0
38,35.0,68.0,0,0,1,0
38,84.0,38.0,1,1,0,0
38,56.0,60.0,0,0,0,0
38,36.0,39.0,0,0,0,0
38,45.0,61.0,0,0,0,0
38,28.0,58.0,0,0,0,0
38,74.0,36.0,1,1,0,0
38,106.0,27.0,1,1,0,1
38,48.0,68.0,0,0,0,0
38,65.0,54.0,0,1,0,0
38,56.0,70.0,0,0,0,0
38,34.0,81.0,0,0,1,0
38,22.0,76.0,0,0,1,0
38,42.0,48.0,0,0,0,0
38,52.0,59.0,0,0,0,0
38,47.0,46.0,0,0,0,0
38,45.0,65.0,0,0,0,0
38,89.0,22.0,1,1,0,0
38,73.0,51.0,0,1,0,0
38,34.0,69.0,0,0,1,0
38,63.0,39.0,1,1,0,0
38,54.0,46.0,0,0,0,0
38,51.0,48.0,0,0,0,0
38,67.0,39.0,1,1,0,0
38,52.0,55.0,0,0,0,0
38,95.0,23.0,1,1,0,1
38,35.0,60.0,0,0,0,0
38,45.0,68.0,0,0,0,0
38,51.0,53.0,0,0,0,0
38,85.0,33.0,1,1,0,1
38,49.0,62.0,0,0,0,0
38,40.0,65.0,0,0,1,0
38,43.0,50.0,0,0,0,0
38,31.0,50.0,0,0,0,0
38,36.0,64.0,0,0,1,0
38,61.0,47.0,0,1,0,0
38,66.0,36.0,1,1,0,0
38,67.0,41.0,0,1,0,0
38,38.0,58.0,0,0,0,0
38,56.0,48.0,0,0,0,0
38,41.0,67.0,0,0,0,0
38,39.0,54.0,0,0,0,0
38,44.0,56.0,0,0,0,0
38,26.0,75.0,0,0,1,0
38,51.0,60.0,0,0,0,0
38,102.0,35.0,1,1,0,0
38,39.0,39.0,0,0,0,0
38,69.0,54.0,1,1,0,0
38,51.0,40.0,0,1,0,0
38,62.0,47.0,0,1,0,0
38,27.0,53.0,0,0,1,0
38,41.0,66.0,0,0,0,0
38,68.0,42.0,1,1,0,0
38,68.0,45.0,0,0,0,0
38,35.0,76.0,0,0,1,0
38,40.0,46.0,0,0,0,0
38,20.0,63.0,0,0,1,0
38,47.0,48.0,0,0,0,0
38,62.0,54.0,0,0,0,0
38,73.0,44.0,1,1,0,0
38,55.0,39.0,0,0,0,0
38,47.0,68.0,0,0,0,0
38,46.0,62.0,0,0,0,0
38,58.0,36.0,1,1,0,0
38,68.0,50.0,0,1,0,0
38,36.0,52.0,0,0,0,0
38,55.0,46.0,0,0,0,0
38,33.0,55.0,0,0,0,0
38,83.0,32.0,1,1,0,1
38,48.0,56.0,0,0,0,0
38,57.0,57.0,0,1,0,0
38,34.0,53.0,0,0,1,0
38,76.0,33.0,1,1,0,0
38,43.0,66.0,0,0,0,0
38,62.0,59.0,0,0,0,0
38,34.0,77.0,0,0,1,0
38,23.0,84.0,0,0,1,0
38,69.0,40.0,1,1,0,0
38,44.0,62.0,0,0,0,0
38,94.0,26.0,1,1,0,0
38,52.0,54.0,0,0,0,0
38,50.0,46.0,0,0,0,0
38,42.0,79.0,0,0,0,0
38,99.0,26.0,1,1,0,1
38,42.0,44.0,0,0,0,0
38,43.0,67.0,0,0,0,0
38,38.0,43.0,0,0,0,0
38,61.0,48.0,0,1,0,0
38,60.0,51.0,0,0,0,0
38,40.0,49.0,0,0,0,0
38,70.0,63.0,0,0,0,0
38,34.0,57.0,0,0,0,0
38,68.0,33.0,1,1,0,0
38,37.0,71.0,0,0,0,0
38,55.0,53.0,0,0,0,0
38,48.0,78.0,0,0,1,0
38,51.0,68.0,0,0,1,0
38,58.0,43.0,1,1,0,0
38,42.0,55.0,0,0,0,0
38,51.0,46.0,0,0,0,0
38,88.0,43.0,1,1,0,0
38,72.0,53.0,0,1,0,0
38,94.0,33.0,1,1,0,1
38,36.0,73.0,0,0,1,0
38,31.0,58.0,0,0,0,0
38,58.0,46.0,0,0,0,0
38,38.0,47.0,0,0,0,0
38,38.0,68.0,0,0,0,0
38,75.0,47.0,0,1,0,0
38,41.0,78.0,0,0,1,0
38,54.0,67.0,0,0,0,0
38,55.0,62.0,0,0,0,0
38,40.0,51.0,0,0,0,0
38,35.0,104.0,0,0,1,0
38,85.0,62.0,0,0,0,0
38,91.0,29.0,1,1,0,0
38,56.0,65.0,0,0,0,0
38,77.0,63.0,0,1,0,0
38,57.0,58.0,0,0,0,0
38,49.0,67.0,0,0,0,0
38,96.0,34.0,1,1,0,1
38,74.0,61.0,0,1,0,0
38,86.0,41.0,1,1,0,0
38,55.0,61.0,0,0,0,0
38,50.0,65.0,0,0,0,0
38,76.0,61.0,1,1,0,0
38,60.0,74.0,0,0,0,0
38,57.0,58.0,0,0,0,0
38,52.0,85.0,0,0,1,0
38,44.0,54.0,0,0,0,0
38,36.0,82.0,0,0,1,0
38,69.0,34.0,1,1,0,0
38,42.0,44.0,0,0,0,0
38,68.0,47.0,0,1,0,0
38,58.0,46.0,0,0,0,0
38,46.0,62.0,0,0,0,0
38,66.0,57.0,0,0,0,0
38,64.0,43.0,1,1,0,0
38,33.0,80.0,0,0,1,0
38,58.0,51.0,0,1,0,0
38,64.0,65.0,0,0,0,0
38,72.0,44.0,1,1,0,0
38,26.0,86.0,0,0,1,0
38,51.0,51.0,0,0,0,0
38,66.0,59.0,0,0,0,0
38,54.0,54.0,0,0,0,0
38,58.0,46.0,0,0,0,0
38,54.0,69.0,0,0,0,0
38,86.0,41.0,1,1,0,1
